nama_bangunan,building_count,building_area_m2,buffer_area_m2,building_density,kategori_kerapatan
Toko Oleh-oleh Pramuka,452,53863.27491333502,125461.9396215698,0.4293196412856563,Sedang
Toko Pagoda,247,55879.554184787805,125461.9396215698,0.445390485380164,Sedang
Toko Purwoaji,265,35704.90788230921,125461.9396215698,0.2845875648822722,Rendah
Toko Satria,279,37204.0064995032,125461.9396215698,0.2965361974453882,Rendah
tral mode-gajah sakti-sinar b,197,29455.855541300647,125461.9396215698,0.23477921376114694,Rendah
Unyil Andang,135,33811.240115226494,125461.9396215698,0.26949400126613027,Rendah
Virgo Salon,468,48407.75329185467,125461.9396215698,0.3858361622486208,Sedang
Wahyuningsari,345,42894.88476243748,125461.9396215698,0.3418955971175091,Sedang
Warung SS-JailBreak,336,29134.266344801734,125461.9396215698,0.23221597269003866,Rendah
Wina dan Sembada,196,44563.10870704083,125461.9396215698,0.35519225066547117,Sedang
