Lokasi,Jenis_Kendaraan,Hari,Jam_Ramai_Lama,Jam_Ramai_Pukul,Jam_Sedang_Lama,Jam_Sedang_Pukul,Jam_Sepi_Lama,Jam_Sepi_Pukul,Banyak_Kendaraan_Ramai,Banyak_Kendaraan_Sedang,Banyak_Kendaraan_Sepi,Sirkulasi_Ramai,Sirkulasi_Sedang,Sirkulasi_Sepi,Total_Ramai,Total_Sedang,Total_Sepi,Total_Sehari,Tarif_Parkir,Pendapatan_Sehari,Total_Mingguan,Potensi_Tahunan,Total Sirkulasi,Total Durasi Jam,Intensitas (kendaraan/jam),Kerapatan jalan
et Chiken Wahid Ha,mobil,weekday,3.0,10.00-13.00,3.0,18.00-21.00,5.0,13.00-18.00,2.0,1.0,1.0,1.0,1.0,0.0,5.0,4.0,1.0,10.0,2000.0,20000.0,100000.0,1920000.0,2.0,11.0,0.18181818181818182,Sedang
Salsa Snack,mobil,weekday,3.0,06.00-09.00,7.0,09.00-16.00,5.0,16.00-21.00,2.0,1.0,0.0,1.0,1.0,0.0,5.0,8.0,0.0,13.0,2000.0,26000.0,130000.0,2496000.0,2.0,15.0,0.13333333333333333,Sedang
Sate Ahmad Yani,mobil,weekday,3.0,18.00-21.00,3.0,10.00-13.00,5.0,13.00-18.00,4.0,2.0,1.0,2.0,1.0,1.0,10.0,5.0,6.0,21.0,2000.0,42000.0,210000.0,4032000.0,4.0,11.0,0.36363636363636365,Sedang
Alfamidi Wahid Hasyim,motor,weekend,4.0,12.00-16.00,6.0,16.00-22.00,5.0,"09.00-12.00, 22.",7.0,3.0,1.0,7.0,2.0,1.0,35.0,15.0,6.0,56.0,1000.0,56000.0,112000.0,2150400.0,10.0,15.0,0.6666666666666666,Sedang
Tepi Jalan BJ,motor,weekend,4.0,12.00-16.00,5.0,16.00-21.00,4.0,08.00-12.00,19.0,9.0,5.0,9.0,3.0,5.0,55.0,24.0,25.0,104.0,1000.0,104000.0,208000.0,3993600.0,17.0,13.0,1.3076923076923077,Sedang
Warung SS-JailBreak,motor,weekend,1.0,12.00-13.00,2.0,18.00-22.00,5.0,13.00-18.00,9.0,4.0,3.0,4.0,3.0,1.0,13.0,10.0,8.0,31.0,1000.0,31000.0,62000.0,1190400.0,8.0,8.0,1.0,Sedang
Sonic Chicken,motor,weekend,4.0,12.00-16.00,6.0,16.00-22.00,3.0,09.00-12.00,8.0,6.0,3.0,5.0,4.0,2.0,28.0,30.0,9.0,67.0,1000.0,67000.0,134000.0,2572800.0,11.0,13.0,0.8461538461538461,Sedang
Alfamart Wahid Hasyim,motor,weekend,4.0,18.00-22.00,5.0,07.00-12.00,6.0,12.00-18.00,7.0,3.0,2.0,7.0,2.0,2.0,35.0,13.0,14.0,62.0,1000.0,62000.0,124000.0,2380800.0,11.0,15.0,0.7333333333333333,Sedang
Indomaret Wahid Hasyim,motor,weekend,4.0,18.00-22.00,5.0,07.00-12.00,6.0,12.00-18.00,7.0,4.0,1.0,7.0,4.0,1.0,35.0,24.0,7.0,66.0,1000.0,66000.0,132000.0,2534400.0,12.0,15.0,0.8,Sedang
ocket Chiken Wahid Hasyi,motor,weekend,3.0,10.00-13.00,3.0,18.00-21.00,5.0,13.00-18.00,9.0,5.0,3.0,7.0,3.0,2.0,30.0,14.0,13.0,57.0,1000.0,57000.0,114000.0,2188800.0,12.0,11.0,1.0909090909090908,Sedang
