Lokasi,Jenis_Kendaraan,Hari,Jam_Ramai_Lama,Jam_Ramai_Pukul,Jam_Sedang_Lama,Jam_Sedang_Pukul,Jam_Sepi_Lama,Jam_Sepi_Pukul,Banyak_Kendaraan_Ramai,Banyak_Kendaraan_Sedang,Banyak_Kendaraan_Sepi,Sirkulasi_Ramai,Sirkulasi_Sedang,Sirkulasi_Sepi,Total_Ramai,Total_Sedang,Total_Sepi,Total_Sehari,Tarif_Parkir,Pendapatan_Sehari,Total_Mingguan,Potensi_Tahunan,Total Sirkulasi,Total Durasi Jam,Intensitas (kendaraan/jam),Kerapatan jalan
Toko Ibu,Motor,Weekday,3.0,09.00-12.00,3.0,12.00-15.00,2.0,15.00-17.00,8.0,5.0,1.0,4.0,2.0,1.0,20.0,11.0,3.0,34.0,1000.0,34000.0,170000.0,3264000.0,7.0,8.0,0.875,Sedang
Sami Asih 1,Motor,Weekday,4.0,11.00-15.00,4.0,15.00-19.00,2.0,19.00-21.00,11.0,6.0,8.0,4.0,4.0,3.0,27.0,22.0,14.0,63.0,1000.0,63000.0,315000.0,6048000.0,11.0,10.0,1.1,Sedang
Eka Surya,Motor,Weekday,4.0,12.00-18.00,5.0,08.00-13.00,3.0,18.00-21.00,11.0,7.0,6.0,6.0,5.0,3.0,35.0,32.0,15.0,82.0,1000.0,82000.0,410000.0,7872000.0,14.0,12.0,1.1666666666666667,Sedang
Rocket Chicken,Motor,Weekday,4.0,12.00-16.00,5.0,16.00-21.00,3.0,09.00-12.00,10.0,6.0,5.0,6.0,5.0,4.0,34.0,31.0,17.0,82.0,1000.0,82000.0,410000.0,7872000.0,15.0,12.0,1.25,Sedang
Abata,Motor,Weekday,5.0,08.00-13.00,4.0,17.00-21.00,4.0,13.00-17.00,12.0,8.0,5.0,7.0,6.0,2.0,47.0,32.0,13.0,92.0,1000.0,92000.0,460000.0,8832000.0,15.0,13.0,1.1538461538461537,Sedang
Bakmi Situmpur,Motor,Weekday,3.0,17.00-20.00,2.0,20.00-22.00,2.0,22.00-00.00,8.0,4.0,2.0,4.0,2.0,1.0,20.0,8.0,4.0,32.0,1000.0,32000.0,160000.0,3072000.0,7.0,7.0,1.0,Sedang
TB Gerilya,Motor,Weekday,3.0,12.00-15.00,4.0,08.00-12.00,2.0,15.00-17.00,6.0,4.0,1.0,6.0,4.0,1.0,24.0,20.0,3.0,47.0,1000.0,47000.0,235000.0,4512000.0,11.0,9.0,1.2222222222222223,Sedang
Indomaret Gerilya,Motor,Weekday,6.0,08.00-14.00,5.0,14.00-19.00,3.0,19.00-22.00,7.0,5.0,3.0,5.0,5.0,3.0,37.0,30.0,12.0,79.0,1000.0,79000.0,395000.0,7584000.0,13.0,14.0,0.9285714285714286,Sedang
BRI Gerilya,Motor,Weekday,3.0,08.00-11.00,2.0,11.00-13.00,2.0,13.00-15.00,20.0,8.0,4.0,7.0,5.0,3.0,41.0,18.0,10.0,69.0,1000.0,69000.0,345000.0,6624000.0,15.0,7.0,2.142857142857143,Sedang
RM Lik Chip,Motor,Weekday,4.0,10.00-14.00,4.0,18.00-22.00,4.0,14.00-18.00,12.0,8.0,5.0,6.0,3.0,2.0,36.0,20.0,13.0,69.0,1000.0,69000.0,345000.0,6624000.0,11.0,12.0,0.9166666666666666,Sedang
Unyil Andang,Motor,Weekday,4.0,18.00-22.00,3.0,22.00-01.00,1.0,17.00-18.00,15.0,8.0,5.0,6.0,5.0,3.0,39.0,23.0,8.0,70.0,1000.0,70000.0,350000.0,6720000.0,14.0,8.0,1.75,Sedang
Lamongan Cak Arul,Motor,Weekday,4.0,18.00-22.00,5.0,13.00-18.00,3.0,22.00-01.00,9.0,7.0,2.0,5.0,3.0,1.0,29.0,22.0,5.0,56.0,1000.0,56000.0,280000.0,5376000.0,9.0,12.0,0.75,Sedang
Adi Permana,Motor,Weekday,4.5,08.30-12.00,2.0,15.00-17.00,3.0,12.00-15.00,8.0,5.0,4.0,3.0,3.0,1.0,22.0,11.0,7.0,40.0,1000.0,40000.0,200000.0,3840000.0,7.0,9.5,0.7368421052631579,Sedang
ANS,Motor,Weekday,3.0,12.00-15.00,3.0,09.00-12.00,2.5,15.00-17.30,7.0,5.0,2.0,4.0,3.0,1.0,19.0,14.0,4.5,38.0,1000.0,38000.0,190000.0,3648000.0,8.0,8.5,0.9411764705882353,Sedang
kter Hewan (S Parm,Motor,Weekday,4.0,17.00-21.00,5.0,12.00-17.00,3.0,09.00-12.00,7.0,5.0,3.0,4.0,4.0,2.0,23.0,25.0,9.0,57.0,1000.0,57000.0,285000.0,5472000.0,10.0,12.0,0.8333333333333334,Sedang
Dwi Tunggal,Motor,Weekday,3.0,11.00-14.00,2.0,14.00-16.00,3.0,08.00-11.00,10.0,5.0,2.0,5.0,3.0,2.0,25.0,11.0,8.0,44.0,1000.0,44000.0,220000.0,4224000.0,10.0,8.0,1.25,Sedang
Indomaret Andang,Motor,Weekday,6.0,14.00-20.00,7.0,07.00-14.00,2.0,20.00-22.00,12.0,5.0,7.0,5.0,5.0,4.0,42.0,40.0,15.0,97.0,1000.0,97000.0,485000.0,9312000.0,14.0,15.0,0.9333333333333333,Sedang
Lodeh,Motor,Weekday,6.0,12.00-18.00,3.0,18.00-21.00,4.0,08.00-12.00,13.0,9.0,9.0,7.0,5.0,3.0,55.0,24.0,21.0,100.0,1000.0,100000.0,500000.0,9600000.0,15.0,13.0,1.1538461538461537,Sedang
Meubel,Motor,Weekday,4.0,08.00-12.00,5.0,12.00-17.00,3.0,17.00-20.00,6.0,4.0,2.0,6.0,4.0,1.0,30.0,24.0,5.0,59.0,1000.0,59000.0,295000.0,5664000.0,11.0,12.0,0.9166666666666666,Sedang
Pasar Burung,Motor,Weekday,4.0,11.00-15.00,4.0,15.00-19.00,4.0,07.00-11.00,5.0,4.0,1.0,5.0,4.0,1.0,25.0,20.0,5.0,50.0,1000.0,50000.0,250000.0,4800000.0,10.0,12.0,0.8333333333333334,Sedang
Pecak Sambel,Motor,Weekday,6.0,11.00-17.00,5.0,17.00-22.00,3.0,08.00-11.00,9.0,7.0,6.0,8.0,6.0,3.0,57.0,37.0,15.0,109.0,1000.0,109000.0,545000.0,10464000.0,17.0,14.0,1.2142857142857142,Sedang
Popular-Finance,Motor,Weekday,4.0,08.00-12.00,3.0,12.00-15.00,2.0,15.00-17.00,10.0,8.0,5.0,5.0,3.0,1.0,30.0,17.0,7.0,54.0,1000.0,54000.0,270000.0,5184000.0,9.0,9.0,1.0,Sedang
Remaja Listrik,Motor,Weekday,3.0,08.00-11.00,4.0,11.00-15.00,3.0,15.00-18.00,9.0,7.0,5.0,5.0,3.0,1.0,24.0,19.0,8.0,51.0,1000.0,51000.0,255000.0,4896000.0,9.0,10.0,0.9,Sedang
Soto Lawas,Motor,Weekday,6.0,14.00-20.00,4.0,10.00-14.00,2.0,20.00-22.00,8.0,6.0,5.0,4.0,3.0,1.0,32.0,18.0,7.0,57.0,1000.0,57000.0,285000.0,5472000.0,8.0,12.0,0.6666666666666666,Sedang
Mie Eco,Motor,Weekday,3.0,12.00-15.00,3.0,15.00-18.00,3.0,09.00-12.00,3.0,2.0,1.0,3.0,2.0,1.0,12.0,8.0,4.0,24.0,1000.0,24000.0,120000.0,2304000.0,6.0,9.0,0.6666666666666666,Sedang
Shinta,Motor,Weekday,3.0,12.00-15.00,2.0,15.00-17.00,3.0,09.00-12.00,7.0,5.0,3.0,5.0,3.0,1.0,22.0,11.0,6.0,39.0,1000.0,39000.0,195000.0,3744000.0,9.0,8.0,1.125,Sedang
Wahyuningsari,Motor,Weekday,3.0,12.00-16.00,3.0,09.00-12.00,3.0,16.00-19.00,5.0,4.0,3.0,3.0,2.0,1.0,14.0,10.0,6.0,30.0,1000.0,30000.0,150000.0,2880000.0,6.0,9.0,0.6666666666666666,Sedang
Lina Bakery,Motor,Weekday,4.0,17.00-21.00,5.0,12.00-17.00,4.0,08.00-12.00,5.0,4.0,2.0,3.0,2.0,1.0,17.0,14.0,6.0,37.0,1000.0,37000.0,185000.0,3552000.0,6.0,13.0,0.46153846153846156,Sedang
Toko Intisari,Motor,Weekday,4.0,17.00-21.00,4.0,13.00-17.00,4.0,09.00-13.00,5.0,3.0,1.0,5.0,3.0,1.0,25.0,15.0,5.0,45.0,1000.0,45000.0,225000.0,4320000.0,9.0,12.0,0.75,Sedang
ko Oleh-oleh Pramu,Motor,Weekday,4.0,17.00-21.00,4.0,13.00-17.00,4.0,09.00-13.00,2.0,1.0,0.0,2.0,1.0,0.0,10.0,5.0,0.0,15.0,1000.0,15000.0,75000.0,1440000.0,3.0,12.0,0.25,Sedang
Alfamart Pramuka,Motor,Weekday,6.0,14.00-20.00,6.0,08.00-14.00,2.0,20.00-22.00,7.0,5.0,3.0,5.0,3.0,1.0,37.0,23.0,5.0,65.0,1000.0,65000.0,325000.0,6240000.0,9.0,14.0,0.6428571428571429,Sedang
Alfamart Pancurawis,Motor,Weekday,6.0,14.00-20.00,6.0,08.00-14.00,2.0,20.00-22.00,7.0,5.0,3.0,5.0,3.0,1.0,37.0,23.0,5.0,65.0,1000.0,65000.0,325000.0,6240000.0,9.0,14.0,0.6428571428571429,Sedang
Jimmy Salon,Motor,Weekday,4.0,13.00-17.00,3.0,09.00-12.00,2.0,17.00-19.00,7.0,5.0,3.0,5.0,3.0,1.0,27.0,14.0,5.0,46.0,1000.0,46000.0,230000.0,4416000.0,9.0,9.0,1.0,Sedang
Pelangi Baby Shop,Motor,Weekday,2.5,15.00-17.30,3.0,12.00-15.00,4.0,08.00-12.00,5.0,3.0,1.0,5.0,3.0,1.0,18.0,12.0,5.0,35.0,1000.0,35000.0,175000.0,3360000.0,9.0,9.5,0.9473684210526315,Sedang
Mie Ayam Wanto,Motor,Weekday,3.0,11.00-14.00,2.0,09.00-11.00,2.0,14.00-16.00,7.0,5.0,3.0,4.0,3.0,1.0,19.0,11.0,5.0,35.0,1000.0,35000.0,175000.0,3360000.0,8.0,7.0,1.1428571428571428,Sedang
Surya Indah,Motor,Weekday,3.0,12.00-15.00,3.0,09.00-12.00,2.0,15.00-17.00,5.0,2.0,1.0,5.0,2.0,1.0,20.0,8.0,3.0,31.0,1000.0,31000.0,155000.0,2976000.0,8.0,8.0,1.0,Sedang
Alfamart Kr Pucung,Motor,Weekday,6.0,14.00-20.00,6.0,08.00-14.00,2.0,20.00-22.00,8.0,5.0,2.0,4.0,3.0,1.0,32.0,23.0,4.0,59.0,1000.0,59000.0,295000.0,5664000.0,8.0,14.0,0.5714285714285714,Sedang
Alfamart Tj Elok,Motor,Weekday,6.0,14.00-20.00,6.0,08.00-14.00,2.0,20.00-22.00,9.0,5.0,3.0,5.0,3.0,1.0,39.0,23.0,5.0,67.0,1000.0,67000.0,335000.0,6432000.0,9.0,14.0,0.6428571428571429,Sedang
Apotek Hutami,Motor,Weekday,4.0,13.00-17.00,5.0,08.00-13.00,3.0,17.00-20.00,5.0,3.0,1.0,5.0,3.0,1.0,25.0,18.0,4.0,47.0,1000.0,47000.0,235000.0,4512000.0,9.0,12.0,0.75,Sedang
Rumah Teknik,Motor,Weekday,4.0,08.00-12.00,2.0,15.00-17.00,3.0,12.00-15.00,8.0,5.0,4.0,5.0,3.0,1.0,28.0,11.0,7.0,46.0,1000.0,46000.0,230000.0,4416000.0,9.0,9.0,1.0,Sedang
Sumber Teknik,Motor,Weekday,5.0,08.00-13.00,4.0,16.00-20.00,3.0,13.00-16.00,8.0,5.0,3.0,2.0,2.0,1.0,18.0,13.0,6.0,37.0,1000.0,37000.0,185000.0,3552000.0,5.0,12.0,0.4166666666666667,Sedang
Mardani Tani,Motor,Weekday,3.0,11.00-14.00,3.0,08.00-11.00,2.5,14.00-16.30,4.0,3.0,1.0,4.0,3.0,1.0,16.0,12.0,4.0,32.0,1000.0,32000.0,160000.0,3072000.0,8.0,8.5,0.9411764705882353,Sedang
Area Afra,Mobil,Weekday,3.0,08.00-11.00,3.0,11.00-14.00,3.0,14.00-17.00,5.0,3.0,2.0,3.0,2.0,1.0,14.0,9.0,5.0,28.0,2000.0,56000.0,280000.0,5376000.0,6.0,9.0,0.6666666666666666,Sedang
Mahkota Putra,Mobil,Weekday,6.0,12.00-18.00,3.0,09.00-12.00,3.0,18.00-21.00,3.0,3.0,2.0,3.0,2.0,1.0,21.0,9.0,5.0,35.0,2000.0,70000.0,350000.0,6720000.0,6.0,12.0,0.5,Sedang
famart (deket telko,Mobil,Weekday,6.0,12.00-18.00,5.0,07.00-12.00,4.0,18.00-22.00,1.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,8.0,2000.0,16000.0,80000.0,1536000.0,1.0,15.0,0.06666666666666667,Sedang
Sami Asih 2,Mobil,Weekday,3.0,11.00-14.00,4.0,14.00-18.00,2.0,18.00-20.00,6.0,3.0,2.0,3.0,3.0,2.0,15.0,15.0,6.0,36.0,2000.0,72000.0,360000.0,6912000.0,8.0,9.0,0.8888888888888888,Sedang
Area Metro,Mobil,Weekday,3.0,09.00-12.00,3.0,12.00-15.00,2.0,15.00-17.00,3.0,1.0,1.0,3.0,1.0,0.0,12.0,4.0,1.0,17.0,2000.0,34000.0,170000.0,3264000.0,4.0,8.0,0.5,Sedang
Kaliandra,Mobil,Weekday,2.5,18.30-21.00,2.0,21.00-23.00,1.0,17.30-18.30,8.0,6.0,2.0,5.0,3.0,2.0,21.0,12.0,4.0,37.0,2000.0,74000.0,370000.0,7104000.0,10.0,5.5,1.8181818181818181,Sedang
Batik Mahkota,Mobil,Weekday,4.0,11.00-15.00,2.0,09.00-11.00,2.0,15.00-17.00,7.0,5.0,3.0,5.0,3.0,2.0,27.0,11.0,7.0,45.0,2000.0,90000.0,450000.0,8640000.0,10.0,8.0,1.25,Sedang
Pegadaian,Mobil,Weekday,3.0,08.00-11.00,3.0,11.00-14.000,2.0,14.00-16.00,2.0,1.0,0.0,1.0,1.0,0.0,5.0,4.0,0.0,9.0,2000.0,18000.0,90000.0,1728000.0,2.0,8.0,0.25,Sedang
Central Plastik,Mobil,Weekday,3.0,09.00-12.00,3.0,12.00-15.00,2.0,15.00-17.00,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,5.0,2000.0,10000.0,50000.0,960000.0,1.0,8.0,0.125,Sedang
Toko Ibu,Mobil,Weekday,3.0,09.00-12.00,3.0,12.00-15.00,2.0,15.00-17.00,3.0,2.0,2.0,2.0,2.0,1.0,9.0,8.0,4.0,21.0,2000.0,42000.0,210000.0,4032000.0,5.0,8.0,0.625,Sedang
Sami Asih 1,Mobil,Weekday,4.0,11.00-15.00,4.0,15.00-19.00,2.0,19.00-21.00,9.0,7.0,3.0,4.0,3.0,2.0,25.0,19.0,7.0,51.0,2000.0,102000.0,510000.0,9792000.0,9.0,10.0,0.9,Sedang
Eka Surya,Mobil,Weekday,4.0,12.00-18.00,5.0,08.00-13.00,3.0,18.00-21.00,7.0,5.0,3.0,5.0,3.0,2.0,27.0,20.0,9.0,56.0,2000.0,112000.0,560000.0,10752000.0,10.0,12.0,0.8333333333333334,Sedang
Rocket Chicken,Mobil,Weekday,4.0,12.00-16.00,5.0,16.00-21.00,3.0,09.00-12.00,6.0,4.0,2.0,4.0,3.0,1.0,22.0,19.0,5.0,46.0,2000.0,92000.0,460000.0,8832000.0,8.0,12.0,0.6666666666666666,Sedang
Abata,Mobil,Weekday,5.0,08.00-13.00,4.0,17.00-21.00,4.0,13.00-17.00,2.0,2.0,1.0,2.0,1.0,1.0,12.0,6.0,5.0,23.0,2000.0,46000.0,230000.0,4416000.0,4.0,13.0,0.3076923076923077,Sedang
Bakmi Situmpur,Mobil,Weekday,3.0,17.00-20.00,2.0,20.00-22.00,2.0,22.00-00.00,7.0,3.0,1.0,2.0,2.0,1.0,13.0,7.0,3.0,23.0,2000.0,46000.0,230000.0,4416000.0,5.0,7.0,0.7142857142857143,Sedang
TB Gerilya,Mobil,Weekday,3.0,12.00-15.00,4.0,08.00-12.00,2.0,15.00-17.00,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,5.0,2000.0,10000.0,50000.0,960000.0,1.0,9.0,0.1111111111111111,Sedang
Indomaret Gerilya,Mobil,Weekday,6.0,08.00-14.00,5.0,14.00-19.00,3.0,19.00-22.00,4.0,4.0,1.0,2.0,1.0,1.0,16.0,9.0,4.0,29.0,2000.0,58000.0,290000.0,5568000.0,4.0,14.0,0.2857142857142857,Sedang
BRI Gerilya,Mobil,Weekday,3.0,08.00-11.00,2.0,11.00-13.00,2.0,13.00-15.00,3.0,3.0,1.0,3.0,2.0,1.0,12.0,7.0,3.0,22.0,2000.0,44000.0,220000.0,4224000.0,6.0,7.0,0.8571428571428571,Sedang
RM Lik Chip,Mobil,Weekday,4.0,10.00-14.00,4.0,18.00-22.00,4.0,14.00-18.00,8.0,5.0,3.0,4.0,2.0,1.0,24.0,13.0,7.0,44.0,2000.0,88000.0,440000.0,8448000.0,7.0,12.0,0.5833333333333334,Sedang
Unyil Andang,Mobil,Weekday,4.0,18.00-22.00,3.0,22.00-01.00,1.0,17.00-18.00,9.0,5.0,1.0,6.0,3.0,1.0,33.0,14.0,2.0,49.0,2000.0,98000.0,490000.0,9408000.0,10.0,8.0,1.25,Sedang
Lamongan Cak Arul,Mobil,Weekday,4.0,18.00-22.00,5.0,13.00-18.00,3.0,22.00-01.00,6.0,3.0,1.0,6.0,2.0,1.0,30.0,13.0,4.0,47.0,2000.0,94000.0,470000.0,9024000.0,9.0,12.0,0.75,Sedang
Adi Permana,Mobil,Weekday,4.5,08.30-12.00,2.0,15.00-17.00,3.0,12.00-15.00,5.0,3.0,1.0,3.0,2.0,1.0,19.0,7.0,4.0,30.0,2000.0,60000.0,300000.0,5760000.0,6.0,9.5,0.631578947368421,Sedang
ANS,Mobil,Weekday,3.0,12.00-15.00,3.0,09.00-12.00,2.5,15.00-17.30,3.0,2.0,1.0,2.0,1.0,1.0,9.0,5.0,5.0,18.0,2000.0,36000.0,180000.0,3456000.0,4.0,8.5,0.47058823529411764,Sedang
kter Hewan (S Parm,Mobil,Weekday,4.0,17.00-21.00,5.0,12.00-17.00,3.0,09.00-12.00,3.0,2.0,1.0,2.0,1.0,1.0,11.0,7.0,4.0,22.0,2000.0,44000.0,220000.0,4224000.0,4.0,12.0,0.3333333333333333,Sedang
Dwi Tunggal,Mobil,Weekday,3.0,11.00-14.00,2.0,14.00-16.00,3.0,08.00-11.00,3.0,2.0,1.0,2.0,1.0,1.0,9.0,4.0,4.0,17.0,2000.0,34000.0,170000.0,3264000.0,4.0,8.0,0.5,Sedang
Indomaret Andang,Mobil,Weekday,6.0,14.00-20.00,7.0,07.00-14.00,2.0,20.00-22.00,2.0,1.0,1.0,2.0,1.0,0.0,14.0,8.0,1.0,23.0,2000.0,46000.0,230000.0,4416000.0,3.0,15.0,0.2,Sedang
Lodeh,Mobil,Weekday,6.0,12.00-18.00,3.0,18.00-21.00,4.0,08.00-12.00,3.0,2.0,1.0,3.0,2.0,1.0,21.0,8.0,5.0,34.0,2000.0,68000.0,340000.0,6528000.0,6.0,13.0,0.46153846153846156,Sedang
Meubel,Mobil,Weekday,4.0,08.00-12.00,5.0,12.00-17.00,3.0,17.00-20.00,3.0,2.0,1.0,2.0,2.0,1.0,11.0,12.0,4.0,27.0,2000.0,54000.0,270000.0,5184000.0,5.0,12.0,0.4166666666666667,Sedang
Pasar Burung,Mobil,Weekday,4.0,11.00-15.00,4.0,15.00-19.00,4.0,07.00-11.00,2.0,1.0,1.0,2.0,1.0,0.0,10.0,5.0,1.0,16.0,2000.0,32000.0,160000.0,3072000.0,3.0,12.0,0.25,Sedang
Pecak Sambel,Mobil,Weekday,6.0,11.00-17.00,5.0,17.00-22.00,3.0,08.00-11.00,8.0,5.0,3.0,4.0,3.0,2.0,32.0,20.0,9.0,61.0,2000.0,122000.0,610000.0,11712000.0,9.0,14.0,0.6428571428571429,Sedang
Popular-Finance,Mobil,Weekday,4.0,08.00-12.00,3.0,12.00-15.00,2.0,15.00-17.00,4.0,3.0,2.0,2.0,1.0,1.0,12.0,6.0,4.0,22.0,2000.0,44000.0,220000.0,4224000.0,4.0,9.0,0.4444444444444444,Sedang
Soto Lawas,Mobil,Weekday,3.0,08.00-11.00,4.0,11.00-15.00,3.0,15.00-18.00,8.0,5.0,3.0,4.0,3.0,1.0,20.0,17.0,6.0,43.0,2000.0,86000.0,430000.0,8256000.0,8.0,10.0,0.8,Sedang
Mie Eco,Mobil,Weekday,6.0,14.00-20.00,4.0,10.00-14.00,2.0,20.00-22.00,1.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,7.0,2000.0,14000.0,70000.0,1344000.0,1.0,12.0,0.08333333333333333,Sedang
Shinta,Mobil,Weekday,3.0,12.00-15.00,3.0,15.00-18.00,3.0,09.00-12.00,5.0,3.0,2.0,2.0,1.0,1.0,11.0,6.0,5.0,22.0,2000.0,44000.0,220000.0,4224000.0,4.0,9.0,0.4444444444444444,Sedang
Wahyuningsari,Mobil,Weekday,3.0,12.00-15.00,2.0,15.00-17.00,3.0,09.00-12.00,2.0,1.0,1.0,1.0,1.0,0.0,5.0,3.0,1.0,9.0,2000.0,18000.0,90000.0,1728000.0,2.0,8.0,0.25,Sedang
Lina Bakery,Mobil,Weekday,3.0,12.00-16.00,3.0,09.00-12.00,3.0,16.00-19.00,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,2000.0,8000.0,40000.0,768000.0,1.0,9.0,0.1111111111111111,Sedang
Toko Intisari,Mobil,Weekday,4.0,17.00-21.00,5.0,12.00-17.00,4.0,08.00-12.00,1.0,1.0,0.0,1.0,1.0,0.0,5.0,6.0,0.0,11.0,2000.0,22000.0,110000.0,2112000.0,2.0,13.0,0.15384615384615385,Sedang
ko Oleh-oleh Pramu,Mobil,Weekday,4.0,17.00-21.00,4.0,13.00-17.00,4.0,09.00-13.00,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2000.0,2000.0,10000.0,192000.0,0.0,12.0,0.0,Sedang
Alfamart Pramuka,Mobil,Weekday,4.0,17.00-21.00,4.0,13.00-17.00,4.0,09.00-13.00,2.0,1.0,1.0,2.0,1.0,0.0,10.0,5.0,1.0,16.0,2000.0,32000.0,160000.0,3072000.0,3.0,12.0,0.25,Sedang
Alfamart Pancurawis,Mobil,Weekday,6.0,14.00-20.00,6.0,08.00-14.00,2.0,20.00-22.00,2.0,1.0,1.0,2.0,1.0,0.0,14.0,7.0,1.0,22.0,2000.0,44000.0,220000.0,4224000.0,3.0,14.0,0.21428571428571427,Sedang
Jimmy Salon,Mobil,Weekday,6.0,14.00-20.00,6.0,08.00-14.00,2.0,20.00-22.00,3.0,1.0,0.0,2.0,1.0,0.0,15.0,7.0,0.0,22.0,2000.0,44000.0,220000.0,4224000.0,3.0,14.0,0.21428571428571427,Sedang
Pelangi Baby Shop,Mobil,Weekday,4.0,13.00-17.00,3.0,09.00-12.00,2.0,17.00-19.00,2.0,1.0,0.0,1.0,1.0,0.0,6.0,4.0,0.0,10.0,2000.0,20000.0,100000.0,1920000.0,2.0,9.0,0.2222222222222222,Sedang
Mie Ayam Wanto,Mobil,Weekday,2.5,15.00-17.30,3.0,12.00-15.00,4.0,08.00-12.00,1.0,1.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,8.0,2000.0,16000.0,80000.0,1536000.0,2.0,9.5,0.21052631578947367,Sedang
RS Bunda (Tepi Jalan,Mobil,Weekday,3.0,11.00-14.00,2.0,09.00-11.00,2.0,14.00-16.00,7.0,5.0,3.0,2.0,1.0,1.0,13.0,7.0,5.0,25.0,2000.0,50000.0,250000.0,4800000.0,4.0,7.0,0.5714285714285714,Sedang
Surya Indah,Mobil,Weekday,3.0,12.00-15.00,3.0,09.00-12.00,2.0,15.00-17.00,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,2000.0,8000.0,40000.0,768000.0,1.0,8.0,0.125,Sedang
Alfamart Kr Pucung,Mobil,Weekday,6.0,14.00-20.00,6.0,08.00-14.00,2.0,20.00-22.00,2.0,1.0,1.0,2.0,1.0,1.0,14.0,7.0,3.0,24.0,2000.0,48000.0,240000.0,4608000.0,4.0,14.0,0.2857142857142857,Sedang
Alfamart Tj Elok,Mobil,Weekday,6.0,14.00-20.00,6.0,08.00-14.00,2.0,20.00-22.00,2.0,2.0,1.0,2.0,1.0,1.0,14.0,8.0,3.0,25.0,2000.0,50000.0,250000.0,4800000.0,4.0,14.0,0.2857142857142857,Sedang
Apotek Hutami,Mobil,Weekday,4.0,13.00-17.00,5.0,08.00-13.00,3.0,17.00-20.00,2.0,1.0,0.0,1.0,1.0,0.0,6.0,6.0,0.0,12.0,2000.0,24000.0,120000.0,2304000.0,2.0,12.0,0.16666666666666666,Sedang
Rumah Teknik,Mobil,Weekday,4.0,08.00-12.00,2.0,15.00-17.00,3.0,12.00-15.00,2.0,2.0,1.0,2.0,1.0,1.0,10.0,4.0,4.0,18.0,2000.0,36000.0,180000.0,3456000.0,4.0,9.0,0.4444444444444444,Sedang
Sumber Teknik,Mobil,Weekday,5.0,08.00-13.00,4.0,16.00-20.00,3.0,13.00-16.00,3.0,2.0,1.0,2.0,1.0,1.0,13.0,6.0,4.0,23.0,2000.0,46000.0,230000.0,4416000.0,4.0,12.0,0.3333333333333333,Sedang
Mardani Tani,Mobil,Weekday,3.0,11.00-14.00,3.0,08.00-11.00,2.5,14.00-16.30,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,5.0,2000.0,10000.0,50000.0,960000.0,1.0,8.5,0.11764705882352941,Sedang
Area Afra,motor,Weekend,3.0,08.00-11.00,3.0,11.00-14.00,3.0,14.00-17.00,8.0,6.0,4.0,4.0,3.0,1.0,20.0,15.0,7.0,42.0,1000.0,42000.0,84000.0,1612800.0,8.0,9.0,0.8888888888888888,Sedang
Mahkota Putra,motor,weekend,6.0,12.00-18.00,3.0,09.00-12.00,3.0,18.00-21.00,10.0,7.0,5.0,4.0,3.0,2.0,34.0,16.0,11.0,61.0,1000.0,61000.0,122000.0,2342400.0,9.0,12.0,0.75,Sedang
Alfamart (deket telkom),motor,Weekend,6.0,12.00-18.00,5.0,07.00-12.00,4.0,18.00-22.00,7.0,5.0,2.0,5.0,3.0,2.0,37.0,20.0,10.0,67.0,1000.0,67000.0,134000.0,2572800.0,10.0,15.0,0.6666666666666666,Sedang
Sami Asih 2,motor,weekend,3.0,11.00-14.00,4.0,14.00-18.00,2.0,18.00-20.00,11.0,8.0,4.0,5.0,4.0,2.0,26.0,24.0,8.0,58.0,1000.0,58000.0,116000.0,2227200.0,11.0,9.0,1.2222222222222223,Sedang
Area Metro,motor,Weekend,3.0,09.00-12.00,3.0,12.00-15.00,2.0,15.00-17.00,13.0,10.0,8.0,5.0,4.0,3.0,28.0,22.0,14.0,64.0,1000.0,64000.0,128000.0,2457600.0,12.0,8.0,1.5,Sedang
Kaliandra,motor,weekend,2.5,18.30-21.00,2.0,21.00-23.00,1.0,17.30-18.30,9.0,8.0,3.0,5.0,3.0,1.0,21.5,14.0,4.0,40.0,1000.0,40000.0,80000.0,1536000.0,9.0,5.5,1.6363636363636365,Sedang
Batik Mahkota,motor,Weekend,4.0,11.00-15.00,2.0,09.00-11.00,2.0,15.00-17.00,9.0,6.0,4.0,4.0,3.0,2.0,25.0,12.0,8.0,45.0,1000.0,45000.0,90000.0,1728000.0,9.0,8.0,1.125,Sedang
Pegadaian,motor,weekend,3.0,08.00-11.00,3.0,11.00-14.000,2.0,14.00-16.00,8.0,6.0,4.0,4.0,3.0,2.0,20.0,15.0,8.0,43.0,1000.0,43000.0,86000.0,1651200.0,9.0,8.0,1.125,Sedang
